regcode_prefix,regcode_flag_utf8code,regcode_name
ZU-,U+1F1FF U+1F1E6 ,South Africa 
F-OD,U+1F1F7 U+1F1EA,Réunion Island 
Z8-,U+1F1F8 U+1F1F8 ,South Sudan 
C3-,U+1F1E6 U+1F1E9 ,Andorra 
D-,U+1F1E9 U+1F1EA ,Germany 
9G-,U+1F1EC U+1F1ED ,Ghana 
F-OH,U+1F1F5 U+1F1EB,Tahiti 
VQ-T,U+1F1F9 U+1F1E8,Turks and Caicos 
VQ-B,U+1F1E7 U+1F1F2,Bermuda 
SX-,U+1F1EC U+1F1F7 ,Greece 
TG-,U+1F1EC U+1F1F9 ,Guatemala 
3X-,U+1F1EC U+1F1F3 ,Guinea 
8R-,U+1F1EC U+1F1FE ,Guyana 
HH-,U+1F1ED U+1F1F9 ,Haiti 
TN-,U+1F1E8 U+1F1EC,"Congo, Republic of "
E5-,U+1F1E8 U+1F1F0,Cook Islands 
5B-,U+1F1E8 U+1F1FE,"Cyprus, Republic of "
OK-,U+1F1E8 U+1F1FF,Czech Republic 
4W-,U+1F1F9 U+1F1F1,East Timor 
DQ-,U+1F1EB U+1F1EF,Fiji Islands 
J5-,U+1F1EC U+1F1FC,Guinea Bissau 
HR-,U+1F1ED U+1F1F3 ,Honduras 
HA-,U+1F1ED U+1F1FA ,Hungary 
TF-,U+1F1EE U+1F1F8 ,Iceland 
VT-,U+1F1EE U+1F1F3 ,India 
PK-,U+1F1EE U+1F1E9 ,Indonesia 
YI-,U+1F1EE U+1F1F6 ,Iraq 
4X-,U+1F1EE U+1F1F1 ,Israel 
I-,U+1F1EE U+1F1F9 ,Italy 
6Y-,U+1F1EF U+1F1F2 ,Jamaica 
JY-,U+1F1EF U+1F1F4 ,Jordan 
Z6-,,"Kosovo, Republic of "
UP-,U+1F1F0 U+1F1FF ,Kazakhstan 
5Y-,U+1F1F0 U+1F1EA ,Kenya 
T3-,U+1F1F0 U+1F1EE ,Kiribati 
9K-,U+1F1F0 U+1F1FC ,Kuwait 
OD-,U+1F1F1 U+1F1E7 ,Lebanon 
7P-,U+1F1F1 U+1F1F8 ,Lesotho 
A8-,U+1F1F1 U+1F1F7 ,Liberia 
5A-,U+1F1F1 U+1F1FE ,Libya 
LY-,U+1F1F1 U+1F1F9 ,Lithuania 
LX-,U+1F1F1 U+1F1FA ,Luxembourg 
5R-,U+1F1F2 U+1F1EC ,Madagascar 
7Q-,U+1F1F2 U+1F1FC ,Malawi 
9M-,U+1F1F2 U+1F1FE ,Malaysia 
8Q-,U+1F1F2 U+1F1FB ,Maldives 
TZ-,U+1F1F2 U+1F1F1 ,Mali 
9H-,U+1F1F2 U+1F1F9 ,Malta 
V7-,U+1F1F2 U+1F1ED ,Marshall Islands 
5T-,U+1F1F2 U+1F1F7 ,Mauritania 
3B-,U+1F1F2 U+1F1FA ,Mauritius 
V6-,,"Micronesia, Federated States of "
3A-,U+1F1F2 U+1F1E8 ,Monaco 
JU-,U+1F1F2 U+1F1F3 ,Mongolia 
YL-,U+1F1F1 U+1F1FB ,Latvia 
4O-,U+1F1F2 U+1F1EA ,Montenegro 
CN-,U+1F1F2 U+1F1E6 ,Morocco 
C9-,U+1F1F2 U+1F1FF ,Mozambique 
XY-,U+1F1F2 U+1F1F2 ,Myanmar 
EP-,U+1F1EE U+1F1F7 ,Iran 
2-,U+1F1EC U+1F1EC,Guernsey 
XZ-,,Not in use
EI-,U+1F1EE U+1F1EA ,Ireland 
EJ-,U+1F1EE U+1F1EA ,Ireland 
JA,U+1F1EF U+1F1F5 ,Japan 
XA-,U+1F1F2 U+1F1FD ,Mexico 
XB-,U+1F1F2 U+1F1FD ,Mexico 
XC-,U+1F1F2 U+1F1FD ,Mexico 
CR-,U+1F1F5 U+1F1F9 ,Portugal 
CS-,U+1F1F5 U+1F1F9 ,Portugal 
A7-,U+1F1F6 U+1F1E6 ,Qatar 
XU-,U+1F1F0 U+1F1ED ,Cambodia 
TJ-,U+1F1E8 U+1F1F2 ,Cameroon 
C-,U+1F1E8 U+1F1E6 ,Canada 
V5-,U+1F1F3 U+1F1E6 ,Namibia 
N,U+1F1FA U+1F1F8 ,United States of America 
C2-,U+1F1F3 U+1F1F7 ,Nauru 
9N-,U+1F1F3 U+1F1F5 ,Nepal 
ZJ-,U+1F1EF U+1F1EA,Jersey 
ER-,U+1F1F2 U+1F1E9,Moldova 
PJ-,U+1F1E7 U+1F1F6,Netherlands Antilles 
AE-,U+1F1F3 U+1F1E8,New Caledonia 
ZK-,U+1F1F3 U+1F1FF ,New Zealand 
5N-,U+1F1F3 U+1F1EC ,Nigeria 
Z3-,U+1F1F2 U+1F1F0 ,North Macedonia 
LN-,U+1F1F3 U+1F1F4 ,Norway 
AP-,U+1F1F5 U+1F1F0 ,Pakistan 
HP-,U+1F1F5 U+1F1E6 ,Panama 
P2-,U+1F1F5 U+1F1EC ,Papua New Guinea 
ZP-,U+1F1F5 U+1F1FE ,Paraguay 
OB-,U+1F1F5 U+1F1EA ,Peru 
RP-,U+1F1F5 U+1F1ED ,Philippines 
SP-,U+1F1F5 U+1F1F1 ,Poland 
YR-,U+1F1F7 U+1F1F4 ,Romania 
RA-,U+1F1F7 U+1F1FA ,Russian Federation 
RF-,U+1F1F7 U+1F1FA ,Russian Federation 
9XR-,U+1F1F7 U+1F1FC ,Rwanda 
V4-,U+1F1F0 U+1F1F3 ,Saint Kitts and Nevis 
J6-,U+1F1F1 U+1F1E8 ,Saint Lucia 
J8-,U+1F1FB U+1F1E8 ,Saint Vincent and the Grenadines 
5W-,U+1F1FC U+1F1F8 ,Samoa 
T7-,U+1F1F8 U+1F1F2 ,San Marino 
OM-,U+1F1F8 U+1F1F0 ,Slovakia 
S5-,U+1F1F8 U+1F1EE ,Slovenia 
H4-,U+1F1F8 U+1F1E7 ,Solomon Islands 
6O-,U+1F1F8 U+1F1F4 ,Somalia 
EC-,U+1F1EA U+1F1F8 ,Spain 
V2-,U+1F1E6 U+1F1EC ,Antigua and Barbuda 
LQ-,U+1F1E6 U+1F1F7 ,Argentina 
LV-,U+1F1E6 U+1F1F7 ,Argentina 
VH-,U+1F1E6 U+1F1FA ,Australia 
7T-,U+1F1E9 U+1F1FF ,Algeria 
4R-,U+1F1F1 U+1F1F0 ,Sri Lanka 
ST-,U+1F1F8 U+1F1E9 ,Sudan 
PZ-,U+1F1F8 U+1F1F7 ,Suriname 
ZL-,U+1F1F3 U+1F1FF ,New Zealand 
ZM-,U+1F1F3 U+1F1FF ,New Zealand 
YN-,U+1F1F3 U+1F1EE ,Nicaragua 
5U-,U+1F1F3 U+1F1EA ,Niger 
P4-,U+1F1E6 U+1F1FC,Aruba 
E4-,U+1F1F5 U+1F1F8,Palestine 
M-,U+1F1EE U+1F1F2,Isle of Man
3DC-,U+1F1F8 U+1F1FF,Eswatini
B-,U+1F1E8 U+1F1F3 ,China
HB-,U+1F1E8 U+1F1ED ,Switzerland
HL,U+1F1F0 U+1F1F7 ,South Korea
OY-,U+1F1E9 U+1F1F0 ,Denmark
P-,U+1F1F0 U+1F1F5,North Korea 
