operator_id	operator_callsign	operator_comment	operator_country	operator_country_iso2letter	operator_iata	operator_icao	operator_name
1948	CATALINA AIR 		United States 	us		CBT	Catalina Flying Boats 
1901	CAPPY 		United States 	us	PT	CCI	Capital Cargo International Airlines 
2737	CABLE CHECK 		United States 	us		CCK	Flight Trac 
1996	CHAMPION AIR 		United States 	us	MG	CCP	Champion Air 
1902	CAP CITY 		United States 	us		CCQ	Capital City Air Carriers 
2095			United States 	us		CCX	Colt International 
2014	CHERRY 		United States 	us		CCY	Cherry Air 
4836	CAROLINA 		United States 	us		CDL	Sunbird Airlines 
4615	CORP-X 		United States 	us	3C	CEA	RegionsAir 
2042	CHIPOLA 		United States 	us		CEP	Chipola Aviation 
1904	CAPITOL EXPRESS 		United States 	us		CEX	Capitol Air Express 
2508	EMPIRE AIR 		United States 	us	EM	CFS	Empire Airlines 
2143	CONGRESSIONAL 		United States 	us		CGA	Congressional Air 
2005			United States 	us		CGD	Charlotte Air National Guard 
5942	CHARGE 		United States 	us		CGG	Walmart Aviation 
2018	WILD ONION 		United States 	us		CGO	Chicago Air 
5758	COASTGUARD AUXAIR 		United States 	us		CGX	United States Coast Guard Auxiliary 
1972	CHARTER CENTRAL 		United States 	us		CHA	Central Flying Service 
5654	CHECK AIR 		United States 	us		CHE	Top Flight Air Service 
1990	CHALKS 		United States 	us	OP	CHK	Chalk's International Airlines 
2089	COHLMIA 		United States 	us		CHL	Cohlmia Aviation 
1999	CHANNEL 		United States 	us		CHN	Channel Island Aviation 
2048	CHROME AIR 		United States 	us		CHO	Chrome Air Services 
2008	CHAUTAUQUA 		United States 	us	RP	CHQ	Chautauqua Airlines 
2049	CHURCHAIR 		United States 	us		CHU	Church Aircraft 
854	CHARTAIR 		United States 	us		CHV	Air Charter Professionals 
856	AIR ARCTIC 		United States 	us	5F	CIR	Arctic Circle Air Service 
6082	ZANE 		United States 	us		CIT	Zanesville Aviation 
2092	COLGAN 		United States 	us	9L	CJC	Colgan Air 
2178	SEA JET 		United States 	us		CJI	Corporate Jets 
2115	COMMONWEALTH 		United States 	us		CJS	Commonwealth Jet Service 
1839	CALIBER JET 		United States 	us		CJZ	Caliber Jet 
2157	COOK-AIR 		United States 	us		CKA	Cook Inlet Aviation 
1854			United States 	us		CKC	CKC Services 
2175	CHECKMATE 		United States 	us		CKE	Corporate Aviation Services 
857	CIRCLE CITY 		United States 	us		CKL	Aviation Charter Services 
2203	CROWN AIR 		United States 	us		CKR	Crown Air Systems 
3396	CONNIE 		United States 	us	K4	CKS	Kalitta Air 
2091	COLEMILL 		United States 	us		CLE	Colemill Enterprises 
2076	CLARKAIR 		United States 	us		CLK	Clark Aviation 
5655	CLINTON AIRWAYS 		United States 	us		CLR	Trans America 
2078	CLAY-LACY 		United States 	us		CLY	Clay Lacy Aviation 
860	COMPASSION 		United States 	us		CMF	Air Care Alliance 
2154	AIR MIKE 		United States 	us	CS	CMI	Continental Micronesia 
2449	CIMMARON AIRE 		United States 	us		CMN	Eckles Aircraft 
1942	CASEMENT 		United States 	us		CMT	Casement Aviation 
1897	CAPE SMYTHE AIR 		United States 	us		CMY	Cape Smythe Air 
2087	SID-AIR 		United States 	us		CNG	Coastal Airways 
863	CHENANGO 		United States 	us		CNH	Aquila Air 
1960	WYO-AIR 		United States 	us		CNL	Centennial Airlines 
2138	CONAERO 		United States 	us		CNR	Condor Aero Services 
1961	CHRONOS 		United States 	us		CNS	Cobalt Air LLC 
5740	CONVOY 		United States 	us		CNV	U.S. Navy Reserve Logistic Air Forces 
2152	CONTINENTAL 		United States 	us	CO	COA	Continental Airlines 
2099	COMAIR 		United States 	us	OH	COM	Comair 
2155	CONOCO 		United States 	us		CON	Continental Oil 
2161	COPPER STATE 		United States 	us		COP	Copper State Air Service 
1749	CORPJET 		United States 	us		CPJ	Baltimore Air Transport 
2001	CHAPARRAL 		United States 	us		CPL	Chaparral Airlines 
2173	MOKAN 		United States 	us		CPO	Corporate Aircraft Company 
2172	CORPAIR 		United States 	us		CPR	Corporate Air 
2171	AIR SPUR 		United States 	us		CPT	Corporate Air 
2043	CHIPPEWA-AIR 		United States 	us		CPW	Chippewa Air Commuter 
1898	CAPAIR 		United States 	us		CPX	Capital Air Service 
2132	COMPASS ROSE 		United States 	us	CP	CPZ	Compass Airlines 
2204	CROWN AIRWAYS 		United States 	us		CRO	Crown Airways 
2187	DELIVERY 		United States 	us		CSD	Courier Services 
1976	SKYPORT 		United States 	us		CSI	Central Skyport 
1946	CASTLE 		United States 	us		CSJ	Castle Aviation 
2741	CASCADE 		United States 	us		CSK	Flightcraft 
1870	CALIFORNIA SHUTTLE 		United States 	us		CSL	California Air Shuttle 
1943	CASAIR 		United States 	us		CSO	Casino Airline 
1944	CASPER AIR 		United States 	us		CSP	Casper Air Service 
3213	CHASQUI 		United States 	us	II	CSQ	IBC Airways 
1933	CHOICE AIR 		United States 	us		CSX	Choice Airways 
872	CHAR-TRAN 		United States 	us		CTA	Aero Charter and Transport 
2211	CUTTER FLIGHT 		United States 	us		CTF	Cutter Aviation 
1966	CENTRAL COMMUTER 		United States 	us		CTL	Central Airlines 
2213	CATT 		United States 	us		CTT	Custom Air Transport 
2207	CENTURY 		United States 	us		CTY	Cryderman Air Service 
2287	CLOVERLEAF 		United States 	us		CVF	Dassault Falcon Jet Corporation 
2016	CHEVRON 		United States 	us		CVR	Chevron U.S.A 
2985	CANYON VIEW 		United States 	us		CVU	Grand Canyon Airlines 
1205			Mexico 	mx		NTD	Aero Norte 
1983	CHALLENGE CARGO 		United States 	us	WE	CWC	Centurion Air Cargo 
5658	TEXAS AIRWAYS 		United States 	us		CWT	Texas Airways 
2202	CROW EXPRESS 		United States 	us		CWX	Crow Executive Air 
1905	CAPWINGS 		United States 	us		CWZ	Capitol Wings Airline 
2147	CONROE AIR 		United States 	us		CXO	Conroe Aviation Services 
6053	CASINO EXPRESS 		United States 	us	XP	CXP	Xtra Airways 
1750	CLIPPER CONNECTION 		United States 	us	E9	CXS	Boston-Maine Airways 
2017	CHEYENNE AIR 		United States 	us		CYA	Cheyenne Airways 
880	COYOTE 		United States 	us		CYO	Air Transport 
2208	CRYSTAL-AIR 		United States 	us		CYT	Crystal Shamrock Airlines 
2298	DECUR 		United States 	us		DAA	Decatur Aviation 
3796	DACO 		United States 	us		DAC	McDonnell Douglas 
2305	DELTA 		United States 	us	DL	DAL	Delta Air Lines 
885	DOUBLE-A 		United States 	us		DBA	Air Alpha 
2844	DIAMOND BACK 		United States 	us		DBC	Gemini Air Group 
2647	DOT COM 		United States 	us		DCM	FLTPLAN (anonymized service) 
2331	DISCOVER 		United States 	us		DCV	Discover Air 
2267	DAIMLER 		United States 	us		DCX	Daimler-Chrysler 
2244	DUSTY 		United States 	us		DDA	D & D Aviation 
2335	TACAIR 		United States 	us		DEE	Dixie Airways 
447	AERO COACH 		United States 	us		DFA	Aero Coach Aviation 
2369	DWYAIR 		United States 	us		DFS	Dwyer Aircraft Services 
2323	DIGITAL 		United States 	us		DGT	Digital Equipment Corporation 
2326	BLUE SKY 		United States 	us		DIA	Direct Air 
2236	DESERT FLIGHT 		United States 	us		DJR	Desert Jet 
2294	DAYJET 		United States 	us		DJS	DayJet 
2311	DENVER JET 		United States 	us		DJT	Denver Jet 
5107	DAKOTA 		United States 	us		DKT	Sioux Falls Aviation 
904	DYNAJET 		United States 	us		DNJ	Aerodynamics Incorporated 
2245	DIRECT JET 		United States 	us		DNK	D&K Aviation 
5738			United States 	us		DOD	USAF Air Mobility Operations Control Center 
5739	INTERIOR 		United States 	us		DOI	U.S. Department of the Interior 
2235	JET CARD 		United States 	us		DPJ	Delta Private Jets 
2354	MICHIGAN 		United States 	us		DRE	Drummond Island Air 
4149	DRILLER 		United States 	us		DRL	Omni Air Transport 
2273	DANBURY AIRWAYS 		United States 	us		DSA	Danbury Airways 
2283	DASH CHARTER 		United States 	us		DSH	Dash Air Charter 
910	DESERT 		United States 	us		DST	Aex Air 
2308	DELTA STATE 		United States 	us		DSU	Delta State University 
1978	DUTCH VALLEY 		United States 	us		DTV	Centre Airlines 
2332	DISCOVERY AIRWAYS 		United States 	us	DH	DVA	Discovery Airways 
2293	DAWN AIR 		United States 	us		DWN	Dawn Air 
2301	DELAWARE 		United States 	us		DWR	Delaware Skyways 
2271	DALLAS EXPRESS 		United States 	us		DXP	Dallas Express Airlines 
